english,hebrew
Dead Sea,ים המלח
Dutch,הולנדי
Earth,כדור הארץ
East,מזרח
Equator,קו המשווה
Gulf War,מלחמת המפרץ
If,אם
Jew,יהודי
Mediterranean,ים תיכוני
North,צפון
South,דרום
West,מערב
abacus,חשבונייה
abandon,"לנטוש, לזנוח"
abduct,"חטיפה, לחטוף"
abhor,"לשנוא, לתעב"
abide,לציית
ability,יכולת
able,"יכול, מסוגל"
about,אודות
about,"ליד, בערך"
above,מעל
above all,מעל לכל
abroad,"חו""ל"
abrupt,פתאומי
absence,מחסור
absent,"חסר, לא נוכח"
absolute,מוחלט
absolutely,לחלוטין
absorb,לספוג
abstain,"להתנזר, להימנע ממשהו"
absurd,"מגוחך, לא סביר"
abundance,שפע
abuse,"התעללות, ניצול"
abuse,"להתעלל, לנצל"
academic,אקדמי
accelerate,להאיץ
accentuate,"להבליט, להדגיש"
accept,לקבל
acceptable,מקובל
acceptance,הסכמה
accessible,"נגיש, זמין"
accident,תאונה
acclaim,"להריע, לשבח"
accommodate,"לאכסן, לשכן"
accompany,ללוות
accomplices,שותף לדבר עבירה
accomplish,"להשלים, להשיג"
accomplished,"מומחה, מעולה"
accomplishment,הישג
according,לפי
accordingly,בהתאם
account,חשבון
account  -,"להתחשב ב- , להתייחס ל"
accumulate,"לצבור, לאסוף"
accuracy,דיוק
accurate,מדויק
accusation,האשמה
accustomed,מורגל
achieve,להשיג
acknowledge,"להכיר, לדעת"
acquire,"לרכוש, להשיג"
acquisition,רכישה
acquitted,זוכה מאשמה
across,"בצד השני, לרוחב"
activate,להפעיל
active,פעיל
activist,"פעיל, אקטיביסט"
actor,שחקן
actual,ממשי
actually,למעשה
adapt,להסתגל
adapt,להתאים
adapt,לעבד
addition,"תוספת, הוספה"
additionally,בנוסף
address,כתובת
address,"לפנות, לטפל"
adequate,הולם
adhere  -,"לדבוק ב- , לדגול ב"
adjacent to,ליד
adjust,להתרגל
adjust,לכוונן
administer,"לנהל, לפקח"
administer,"לתת, לחלק"
administration,מנהל
admirable,"נערץ, ראוי להערצה"
admire,להעריץ
admit,להודות
admit,"להכניס, לקבל לתוך קבוצה"
adolescence,גיל ההתבגרות
adopt,לאמץ
adore,"העריץ, אהב"
adorn,לקשט
adult,מבוגר
adulthood,בגרות
advance,מתקדם
advancement,התקדמות
advancement,מקדמה
advantage,יתרון
adventure,הרפתקה
adverse,שלילי
advertise,פרסום
advertisement,"מודעה, פרסום"
advice,עצה
advise,לייעץ
advisor,יועץ
advocate,לייעץ
advocate,פרקליט
aesthetic,אסתטיקה
affect,להשפיע
affection,חיבה
affinity,"זיקה, קירבה"
affinity,משיכה
affluence,שפע
affluent,"שופע, עשיר"
afford,יכל לעמוד בהוצאות
afraid,מפחד
after,אחרי
after all,אחרי הכל
afterwards,לאחר מכן
again,שוב
against,"כנגד, ממול"
agency,סוכנות
agenda,סדר יום
aggressive,"תוקפני, אלים"
agitate,"להסעיר, לזעזע, לעצבן"
agonize,"לענות, לייסר"
agony,ייסורים
agree,להסכים
agreement,הסכם
agriculture,חקלאות
ahead of,"לפני, לפנים"
aid,"עזרה, לסייע"
aim,"לכוון, מטרה"
air conditioner,מזגן
airborne,נישא באוויר
airline,חברת תעופה
airplane,"אווירון, מטוס"
aisle,מעבר
alarm,אזעקה
alarm,"דאגה, להדאיג"
albeit,אף על פי
algae,אצות
alien,חייזר
alienation,"ניכור, הרחקה"
align,להסתדר בשורה
alike,דומה
alive,חי
all in all,בסך הכל
allergic,אלרגי
allocate,להקצות
allow,להרשות
allowance,"דמי כיס, הקצבה"
allusion,"אזכור, רמיזה"
almost,כמעט
alone,לבד
along,לאורך
along with,יחד עם
alongside,"לצד, במקביל"
also,גם
alter,"שינה , לשנות"
alterations,שינויים
alternate,"התחלף, עבר מדבר אחד לשני וחזרה"
alternate,חלופי
alternately,לסירוגין
although  -,למרות ש
altogether,בסך הכל
altogether,לגמרי
always,תמיד
amass,"לצבור, לערום"
amateur,חובבן
amaze,להדהים
ambassador,שגריר
ambiguous,"דו משמעי, לא לגמרי ברור"
amend,"תיקון, שינוי לטובה"
amid,"בקרב, בין"
among,"בקרב, בין"
amount,כמות
ample,"מספיק, שופע, גדול"
amputation,קטיעה
amusement,שעשוע
analogy,"אנלוגיה, הקבלה"
analyze,לנתח
ancestor,אב קדמון
ancestry,מוצא
anchor,עוגן
ancient,"קדום, עתיק"
anesthesia,הרדמה
anger,"כעס, להכעיס"
angry,כועס
animal,חיה
annihilate,להשמיד
announcement,הכרזה
annoy,להציק
annually,שנתי
another,אחר
another,נוסף
answer,תשובה
anticipate,לצפות
antique,"עתיק, ענתיקה"
antler,קרן
anxious,חרד
anxious,להוט
apart,בנפרד
apathetic,אדיש
apathy,"אפאתיה, אדישות"
apology,התנצלות
apparatus,מנגנון
apparent,גלוי
apparently,כנראה
appeal,לבקש
appeal,לערער
appeal,"מדבר אל, מושך"
appear,להופיע
appear  -,נראה ש
appearance,"מראה, הופעה"
appease,לפייס
appetite,"תיאבון, רצון עז"
applaud,"מחא כפיים, הריע"
applicant,מועמד
apply,לפנות
appoint,למנות
appraise,"להעריך )שווי(, לאמוד"
appreciate,עליה בערך
appreciation,הערכה
approach,גישה
appropriate,מתאים
appropriately,בהתאם
approve,לאשר
approximately,"בערך, בקירוב"
arable,מתאים לעיבוד
architect,ארכיטקט
architecture,"אדריכלות, ארכיטקטורה"
area,"אזור, תחום"
argue,להתווכח
argument,ויכוח
arise,"להופיע, לעלות"
aristocrat,"אציל, אריסטוקרט"
ark,תיבה
arm,זרוע
arm,לחמש
army,צבא
around,בערך
around,מסביב
arousing,מעורר
arrange,לסדר
arrest,"מעצר, לעצור"
arrive,להגיע
arrogant,"יהיר, שחצן"
art,אמנות
article,מאמר
article,פריט
articulate,להביע
articulate,רהוט
artifact,"חפץ, פריט אומנות"
artificial,מלאכותי
artist,אמן
artistic,אמנותי
as,כמו
as  -,"כאשר, כש"
as a result,כתוצאה
as far as  -,"לגבי, בכל הנוגע ל"
as if,כאילו
as long as,כל עוד
as proof of  -,כהוכחה ל
as soon as  -,"כאשר, ברגע ש"
as well as,כמו גם
ascertain,לוודא
aside,"במאמר מוסגר, מלבד"
